Date,Close_price
2/1/2019 ,97861.27
2/4/2019 ,98588.63
2/5/2019 ,98311.2
2/6/2019 ,94635.57
2/7/2019 ,94405.59
2/8/2019 ,95343.1
2/11/2019 ,94412.91
2/12/2019 ,96168.4
2/13/2019 ,95842.4
2/14/2019 ,98015.09
2/15/2019 ,97525.91
2/18/2019 ,96509.89
2/19/2019 ,97659.15
2/20/2019 ,96544.81
2/21/2019 ,96932.27
2/22/2019 ,97885.6
2/25/2019 ,97239.9
2/26/2019 ,97602.5
2/27/2019 ,97307.31
2/28/2019 ,95584.35
3/1/2019 ,94603.75
3/6/2019 ,94216.87
3/7/2019 ,94340.17
3/8/2019 ,95364.85
3/11/2019 ,98026.62
3/12/2019 ,97828.03
3/13/2019 ,98903.88
3/14/2019 ,98604.67
3/15/2019 ,99136.74
3/18/2019 ,99993.92
3/19/2019 ,99588.37
3/20/2019 ,98041.37
3/21/2019 ,96729.08
3/22/2019 ,93735.15
3/25/2019 ,93662.01
3/26/2019 ,95306.82
3/27/2019 ,91903.4
3/28/2019 ,94388.94
3/29/2019 ,95414.55
4/1/2019 ,96054.45
4/2/2019 ,95386.76
4/3/2019 ,94491.48
4/4/2019 ,96313.06
4/5/2019 ,97108.17
4/8/2019 ,97369.29
4/9/2019 ,96291.79
4/10/2019 ,95953.45
4/11/2019 ,94754.7
4/12/2019 ,92875
4/15/2019 ,93082.97
4/16/2019 ,94333.31
4/17/2019 ,93284.75
4/18/2019 ,94578.26
4/22/2019 ,94588.06
4/23/2019 ,95923.24
4/24/2019 ,95045.43
